name,country,field,year
Felix Bloch, Switzerland, Physics, 1952
Tadeus Reichstein, Switzerland, Physiology or Medicine, 1950
Walter Rudolf Hess, Switzerland, Physiology or Medicine, 1949
Paul Hermann Müller, Switzerland, Physiology or Medicine, 1948
Hermann Hesse, Switzerland, Literature, 1946
Paul Karrer, Switzerland, Chemistry, 1937
Charles Édouard Guillaume, Switzerland, Physics, 1920
Carl Spitteler, Switzerland, Literature, 1919
Theodor Kocher, Switzerland, Physiology or Medicine, 1909
Élie Ducommun, Switzerland, Peace, 1902
Charles Albert Gobat, Switzerland, Peace, 1902
Yuan T. Lee, Taiwan, Chemistry, 1986
V. S. Naipaul, Trinidad and Tobago, Literature, 2001
Tunisian National Dialogue Quartet, Tunisia, Peace, 2015
Aziz Sancar, Turkey, Chemistry, 2015
Orhan Pamuk, Turkey, Literature, 2006
Selman Waksman, Ukraine, Physiology or Medicine, 1952
Oliver Hart, United Kingdom, Economics, 2016
Fraser Stoddart, United Kingdom, Chemistry, 2016
David J. Thouless, United Kingdom, Physics, 2016
F. Duncan M. Haldane, United Kingdom, Physics, 2016
John M. Kosterlitz, United Kingdom, Physics, 2016
Angus Deaton, United Kingdom, Economics, 2015
John O'Keefe, United Kingdom, Physiology or Medicine, 2014
Peter Higgs, United Kingdom, Physics, 2013
John B. Gurdon, United Kingdom, Physiology or Medicine, 2012
Robert G. Edwards, United Kingdom, Physiology or Medicine, 2010
Sir Martin J. Evans, United Kingdom, Physiology or Medicine, 2007
Oliver Smithies, United Kingdom, Physiology or Medicine, 2007
Harold Pinter, United Kingdom, Literature, 2005
Clive W. J. Granger, United Kingdom, Economics, 2003
Anthony J. Leggett, United Kingdom, Physics, 2003
Peter Mansfield, United Kingdom, Physiology or Medicine, 2003
John E. Sulston, United Kingdom, Physiology or Medicine, 2002
Tim Hunt, United Kingdom, Physiology or Medicine, 2001
Paul Nurse, United Kingdom, Physiology or Medicine, 2001
David Trimble, United Kingdom, Peace, 1998
John Pople, United Kingdom, Chemistry, 1998
John E. Walker, United Kingdom, Chemistry, 1997
Harold Kroto, United Kingdom, Chemistry, 1996
James A. Mirrlees, United Kingdom, Economics, 1996
Richard J. Roberts, United Kingdom, Physiology or Medicine, 1993
Ronald Coase, United Kingdom, Economics, 1991
James W. Black, United Kingdom, Physiology or Medicine, 1988
Richard Stone, United Kingdom, Economics, 1984
William Golding, United Kingdom, Literature, 1983
John Robert Vane, United Kingdom, Physiology or Medicine, 1982
Frederick Sanger, United Kingdom, Chemistry, 1980
Arthur Lewis, United Kingdom, Economics, 1979
Godfrey Hounsfield, United Kingdom, Physiology or Medicine, 1979
Peter D. Mitchell, United Kingdom, Chemistry, 1978
James Meade, United Kingdom, Economics, 1977
Nevill Francis Mott, United Kingdom, Physics, 1977
Amnesty International, United Kingdom, Peace, 1977
Betty Williams, United Kingdom, Peace, 1976
Martin Ryle, United Kingdom, Physics, 1974
Antony Hewish, United Kingdom, Physics, 1974
Geoffrey Wilkinson, United Kingdom, Chemistry, 1973
Brian David Josephson, United Kingdom, Physics, 1973
Rodney Robert Porter, United Kingdom, Physiology or Medicine, 1972
John Hicks, United Kingdom, Economics, 1972
Derek Harold Richard Barton, United Kingdom, Chemistry, 1969
Ronald George Wreyford Norrish, United Kingdom, Chemistry, 1967
George Porter, United Kingdom, Chemistry, 1967
Dorothy Crowfoot Hodgkin, United Kingdom, Chemistry, 1964
Andrew Huxley, United Kingdom, Physiology or Medicine, 1963
Alan Lloyd Hodgkin, United Kingdom, Physiology or Medicine, 1963
John Kendrew, United Kingdom, Chemistry, 1962
Francis Crick, United Kingdom, Physiology or Medicine, 1962
Peter Medawar, United Kingdom, Physiology or Medicine, 1960
Philip Noel-Baker, United Kingdom, Peace, 1959
Alexander R. Todd, United Kingdom, Chemistry, 1957
Cyril Norman Hinshelwood, United Kingdom, Chemistry, 1956
Winston Churchill, United Kingdom, Literature, 1953
Archer John Porter Martin, United Kingdom, Chemistry, 1952
Richard Laurence Millington Synge, United Kingdom, Chemistry, 1952
John Cockcroft, United Kingdom, Physics, 1951
Bertrand Russell, United Kingdom, Literature, 1950
Cecil Frank Powell, United Kingdom, Physics, 1950
John Boyd Orr, United Kingdom, Peace, 1949
T. S. Eliot, United Kingdom, Literature, 1948
Patrick Blackett, United Kingdom, Physics, 1948
Edward Victor Appleton, United Kingdom, Physics, 1947
Robert Robinson, United Kingdom, Chemistry, 1947
Friends Service Council, United Kingdom, Peace, 1947
Alexander Fleming, United Kingdom, Physiology or Medicine, 1945
George Paget Thomson, United Kingdom, Physics, 1937
Robert Cecil, United Kingdom, Peace, 1937
Norman Haworth, United Kingdom, Chemistry, 1937
Henry Hallett Dale, United Kingdom, Physiology or Medicine, 1936
James Chadwick, United Kingdom, Physics, 1935
Arthur Henderson, United Kingdom, Peace, 1934
Norman Angell, United Kingdom, Peace, 1933
Paul Dirac, United Kingdom, Physics, 1933
Charles Scott Sherrington, United Kingdom, Physiology or Medicine, 1932
John Galsworthy, United Kingdom, Literature, 1932
Edgar Adrian, United Kingdom, Physiology or Medicine, 1932
Arthur Harden, United Kingdom, Chemistry, 1929
Frederick Hopkins, United Kingdom, Physiology or Medicine, 1929
Owen Willans Richardson, United Kingdom, Physics, 1928
Charles Thomson Rees Wilson, United Kingdom, Physics, 1927
Austen Chamberlain, United Kingdom, Peace, 1925
Francis William Aston, United Kingdom, Chemistry, 1922
Frederick Soddy, United Kingdom, Chemistry, 1921
Charles Glover Barkla, United Kingdom, Physics, 1917
William Henry Bragg, United Kingdom, Physics, 1915
William Lawrence Bragg, United Kingdom, Physics, 1915
J. J. Thomson, United Kingdom, Physics, 1906
John Strutt, United Kingdom, Physics, 1904
William Ramsay, United Kingdom, Chemistry, 1904
William Randal Cremer, United Kingdom, Peace, 1903
Bob Dylan, United States of America, Literature, 2016
Paul L. Modrich, United States of America, Chemistry, 2015
William E. Moerner, United States of America, Chemistry, 2014
Eric Betzig, United States of America, Chemistry, 2014
Robert J. Shiller, United States of America, Economics, 2013
Lars Peter Hansen, United States of America, Economics, 2013
Eugene F. Fama, United States of America, Economics, 2013
Randy Schekman, United States of America, Physiology or Medicine, 2013
James Rothman, United States of America, Physiology or Medicine, 2013
Alvin E. Roth, United States of America, Economics, 2012
Lloyd S. Shapley, United States of America, Economics, 2012
Brian K. Kobilka, United States of America, Chemistry, 2012
Robert J. Lefkowitz, United States of America, Chemistry, 2012
David J. Wineland, United States of America, Physics, 2012
Christopher A. Sims, United States of America, Economics, 2011
Thomas J. Sargent, United States of America, Economics, 2011
Saul Perlmutter, United States of America, Physics, 2011
Brian P. Schmidt, United States of America, Physics, 2011
Adam G. Riess, United States of America, Physics, 2011
Bruce Beutler, United States of America, Physiology or Medicine, 2011
Peter A. Diamond, United States of America, Economics, 2010
Dale T. Mortensen, United States of America, Economics, 2010
Richard F. Heck, United States of America, Chemistry, 2010
Elinor Ostrom, United States of America, Economics, 2009
Oliver Eaton Williamson, United States of America, Economics, 2009
Barack H. Obama, United States of America, Peace, 2009
Thomas A. Steitz, United States of America, Chemistry, 2009
Willard S. Boyle, United States of America, Physics, 2009
George E. Smith, United States of America, Physics, 2009
Carol W. Greider, United States of America, Physiology or Medicine, 2009
Paul Krugman, United States of America, Economics, 2008
Roger Yonchien Tsien, United States of America, Chemistry, 2008
Martin Chalfie, United States of America, Chemistry, 2008
Eric S. Maskin, United States of America, Economics, 2007
Roger B. Myerson, United States of America, Economics, 2007
Al Gore, United States of America, Peace, 2007
Mario R. Capecchi, United States of America, Physiology or Medicine, 2007
Roger D. Kornberg, United States of America, Chemistry, 2006
John C. Mather, United States of America, Physics, 2006
Edmund S. Phelps, United States of America, Economics, 2006
George F. Smoot, United States of America, Physics, 2006
Andrew Z. Fire, United States of America, Physiology or Medicine, 2006
Craig C. Mello, United States of America, Physiology or Medicine, 2006
Robert H. Grubbs, United States of America, Chemistry, 2005
Richard R. Schrock, United States of America, Chemistry, 2005
Thomas Schelling, United States of America, Economics, 2005
John L. Hall, United States of America, Physics, 2005
Roy J. Glauber, United States of America, Physics, 2005
Irwin Rose, United States of America, Chemistry, 2004
Edward C. Prescott, United States of America, Economics, 2004
David J. Gross, United States of America, Physics, 2004
H. David Politzer, United States of America, Physics, 2004
Frank Wilczek, United States of America, Physics, 2004
Richard Axel, United States of America, Physiology or Medicine, 2004
Linda B. Buck, United States of America, Physiology or Medicine, 2004
Peter Agre, United States of America, Chemistry, 2003
Roderick MacKinnon, United States of America, Chemistry, 2003
Robert F. Engle, United States of America, Economics, 2003
Paul C. Lauterbur, United States of America, Physiology or Medicine, 2003
Alexei A. Abrikosov, United States of America, Physics, 2003
Vernon L. Smith, United States of America, Economics, 2002
Jimmy Carter, United States of America, Peace, 2002
John Bennett Fenn, United States of America, Chemistry, 2002
Raymond Davis Jr., United States of America, Physics, 2002
H. Robert Horvitz, United States of America, Physiology or Medicine, 2002
William S. Knowles, United States of America, Chemistry, 2001
K. Barry Sharpless, United States of America, Chemistry, 2001
Joseph E. Stiglitz, United States of America, Economics, 2001
George A. Akerlof, United States of America, Economics, 2001
A. Michael Spence, United States of America, Economics, 2001
Eric A. Cornell, United States of America, Physics, 2001
Carl E. Wieman, United States of America, Physics, 2001
Leland H. Hartwell, United States of America, Physiology or Medicine, 2001
Alan Heeger, United States of America, Chemistry, 2000
James J. Heckman, United States of America, Economics, 2000
Daniel L. McFadden, United States of America, Economics, 2000
Jack Kilby, United States of America, Physics, 2000
Paul Greengard, United States of America, Physiology or Medicine, 2000
Eric R. Kandel, United States of America, Physiology or Medicine, 2000
Ahmed H. Zewail, United States of America, Chemistry, 1999
Horst Ludwig Störmer, United States of America, Physics, 1998
Robert B. Laughlin, United States of America, Physics, 1998
Robert F. Furchgott, United States of America, Physiology or Medicine, 1998
Louis J. Ignarro, United States of America, Physiology or Medicine, 1998
Ferid Murad, United States of America, Physiology or Medicine, 1998
Paul D. Boyer, United States of America, Chemistry, 1997
Robert C. Merton, United States of America, Economics, 1997
Jody Williams, United States of America, Peace, 1997
Steven Chu, United States of America, Physics, 1997
William D. Phillips, United States of America, Physics, 1997
Stanley B. Prusiner, United States of America, Physiology or Medicine, 1997
Richard E. Smalley, United States of America, Chemistry, 1996
Robert F. Curl Jr., United States of America, Chemistry, 1996
David M. Lee, United States of America, Physics, 1996
Douglas D. Osheroff, United States of America, Physics, 1996
Robert C. Richardson, United States of America, Physics, 1996
Mario J. Molina, United States of America, Chemistry, 1995
F. Sherwood Rowland, United States of America, Chemistry, 1995
Robert Lucas, United States of America, Economics, 1995
Martin L. Perl, United States of America, Physics, 1995
Frederick Reines, United States of America, Physics, 1995
Edward B. Lewis, United States of America, Physiology or Medicine, 1995
Eric F. Wieschaus, United States of America, Physiology or Medicine, 1995
John Charles Harsanyi, United States of America, Economics, 1994
John Forbes Nash, United States of America, Economics, 1994
Clifford G. Shull, United States of America, Physics, 1994
Alfred G. Gilman, United States of America, Physiology or Medicine, 1994
Martin Rodbell, United States of America, Physiology or Medicine, 1994
Kary B. Mullis, United States of America, Chemistry, 1993
Robert W. Fogel, United States of America, Economics, 1993
Douglass C. North, United States of America, Economics, 1993
Toni Morrison, United States of America, Literature, 1993
Russell A. Hulse, United States of America, Physics, 1993
Joseph H. Taylor Jr., United States of America, Physics, 1993
Phillip A. Sharp, United States of America, Physiology or Medicine, 1993
Gary S. Becker, United States of America, Economics, 1992
Edwin G. Krebs, United States of America, Physiology or Medicine, 1992
Elias James Corey, United States of America, Chemistry, 1990
Merton H. Miller, United States of America, Economics, 1990
William F. Sharpe, United States of America, Economics, 1990
Harry M. Markowitz, United States of America, Economics, 1990
Jerome I. Friedman, United States of America, Physics, 1990
Henry W. Kendall, United States of America, Physics, 1990
Joseph E. Murray, United States of America, Physiology or Medicine, 1990
E. Donnall Thomas, United States of America, Physiology or Medicine, 1990
Thomas R. Cech, United States of America, Chemistry, 1989
Norman F. Ramsey, United States of America, Physics, 1989
J. Michael Bishop, United States of America, Physiology or Medicine, 1989
Harold E. Varmus, United States of America, Physiology or Medicine, 1989
Leon M. Lederman, United States of America, Physics, 1988
Melvin Schwartz, United States of America, Physics, 1988
Gertrude B. Elion, United States of America, Physiology or Medicine, 1988
George H. Hitchings, United States of America, Physiology or Medicine, 1988
Charles J. Pedersen, United States of America, Chemistry, 1987
Donald J. Cram, United States of America, Chemistry, 1987
Robert M. Solow, United States of America, Economics, 1987
Dudley R. Herschbach, United States of America, Chemistry, 1986
James M. Buchanan, United States of America, Economics, 1986
Stanley Cohen, United States of America, Physiology or Medicine, 1986
Jerome Karle, United States of America, Chemistry, 1985
Herbert A. Hauptman, United States of America, Chemistry, 1985
Michael S. Brown, United States of America, Physiology or Medicine, 1985
Joseph L. Goldstein, United States of America, Physiology or Medicine, 1985
Bruce Merrifield, United States of America, Chemistry, 1984
William A. Fowler, United States of America, Physics, 1983
Barbara McClintock, United States of America, Physiology or Medicine, 1983
George J. Stigler, United States of America, Economics, 1982
Kenneth G. Wilson, United States of America, Physics, 1982
James Tobin, United States of America, Economics, 1981
Arthur L. Schawlow, United States of America, Physics, 1981
Roger W. Sperry, United States of America, Physiology or Medicine, 1981
Walter Gilbert, United States of America, Chemistry, 1980
Paul Berg, United States of America, Chemistry, 1980
Lawrence R. Klein, United States of America, Economics, 1980
James Cronin, United States of America, Physics, 1980
Val Fitch, United States of America, Physics, 1980
Baruj Benacerraf, United States of America, Physiology or Medicine, 1980
George D. Snell, United States of America, Physiology or Medicine, 1980
Herbert C. Brown, United States of America, Chemistry, 1979
Theodore Schultz, United States of America, Economics, 1979
Steven Weinberg, United States of America, Physics, 1979
Sheldon Glashow, United States of America, Physics, 1979
Herbert A. Simon, United States of America, Economics, 1978
Robert Woodrow Wilson, United States of America, Physics, 1978
Hamilton O. Smith, United States of America, Physiology or Medicine, 1978
Daniel Nathans, United States of America, Physiology or Medicine, 1978
Philip Anderson, United States of America, Physics, 1977
John H. van Vleck, United States of America, Physics, 1977
Andrzej W. Schally, United States of America, Physiology or Medicine, 1977
Rosalyn Yalow, United States of America, Physiology or Medicine, 1977
William Lipscomb, United States of America, Chemistry, 1976
Milton Friedman, United States of America, Economics, 1976
Burton Richter, United States of America, Physics, 1976
Samuel C. C. Ting, United States of America, Physics, 1976
Baruch S. Blumberg, United States of America, Physiology or Medicine, 1976
Daniel Carleton Gajdusek, United States of America, Physiology or Medicine, 1976
Tjalling C. Koopmans, United States of America, Economics, 1975
Ben R. Mottelson, United States of America, Physics, 1975
James Rainwater, United States of America, Physics, 1975
David Baltimore, United States of America, Physiology or Medicine, 1975
Howard Martin Temin, United States of America, Physiology or Medicine, 1975
Paul J. Flory, United States of America, Chemistry, 1974
Wassily Leontief, United States of America, Economics, 1973
Christian Anfinsen, United States of America, Chemistry, 1972
Stanford Moore, United States of America, Chemistry, 1972
William H. Stein, United States of America, Chemistry, 1972
Kenneth J. Arrow, United States of America, Economics, 1972
John Bardeen, United States of America, Physics, 1972
Leon N. Cooper, United States of America, Physics, 1972
Robert Schrieffer, United States of America, Physics, 1972
Gerald Edelman, United States of America, Physiology or Medicine, 1972
Earl W. Sutherland Jr., United States of America, Physiology or Medicine, 1971
Paul A. Samuelson, United States of America, Economics, 1970
Norman Borlaug, United States of America, Peace, 1970
Julius Axelrod, United States of America, Physiology or Medicine, 1970
Murray Gell-Mann, United States of America, Physics, 1969
Alfred Hershey, United States of America, Physiology or Medicine, 1969
Luis Alvarez, United States of America, Physics, 1968
Robert W. Holley, United States of America, Physiology or Medicine, 1968
Marshall Warren Nirenberg, United States of America, Physiology or Medicine, 1968
Hans Bethe, United States of America, Physics, 1967
Haldan Keffer Hartline, United States of America, Physiology or Medicine, 1967
George Wald, United States of America, Physiology or Medicine, 1967
Robert S. Mulliken, United States of America, Chemistry, 1966
Francis Peyton Rous, United States of America, Physiology or Medicine, 1966
Robert B. Woodward, United States of America, Chemistry, 1965
Richard P. Feynman, United States of America, Physics, 1965
Julian Schwinger, United States of America, Physics, 1965
Martin Luther King, United States of America, Peace, 1964
Charles H. Townes, United States of America, Physics, 1964
John Steinbeck, United States of America, Literature, 1962
Linus C. Pauling, United States of America, Peace, 1962
James D. Watson, United States of America, Physiology or Medicine, 1962
Melvin Calvin, United States of America, Chemistry, 1961
Robert Hofstadter, United States of America, Physics, 1961
Willard F. Libby, United States of America, Chemistry, 1960
Donald A. Glaser, United States of America, Physics, 1960
Owen Chamberlain, United States of America, Physics, 1959
Arthur Kornberg, United States of America, Physiology or Medicine, 1959
George Beadle, United States of America, Physiology or Medicine, 1958
Joshua Lederberg, United States of America, Physiology or Medicine, 1958
Edward Tatum, United States of America, Physiology or Medicine, 1958
Chen Ning Yang, United States of America, Physics, 1957
William B. Shockley, United States of America, Physics, 1956
Walter H. Brattain, United States of America, Physics, 1956
Dickinson W. Richards, United States of America, Physiology or Medicine, 1956
André F. Cournand, United States of America, Physiology or Medicine, 1956
Vincent du Vigneaud, United States of America, Chemistry, 1955
Willis E. Lamb, United States of America, Physics, 1955
Ernest Hemingway, United States of America, Literature, 1954
John F. Enders, United States of America, Physiology or Medicine, 1954
Frederick C. Robbins, United States of America, Physiology or Medicine, 1954
Thomas H. Weller, United States of America, Physiology or Medicine, 1954
George C. Marshall, United States of America, Peace, 1953
Fritz Lipmann, United States of America, Physiology or Medicine, 1953
E. M. Purcell, United States of America, Physics, 1952
Selman A. Waksman, United States of America, Physiology or Medicine, 1952
Edwin M. McMillan, United States of America, Chemistry, 1951
Glenn Theodore Seaborg, United States of America, Chemistry, 1951
Ralph J. Bunche, United States of America, Peace, 1950
Philip S. Hench, United States of America, Physiology or Medicine, 1950
Edward C. Kendall, United States of America, Physiology or Medicine, 1950
William Faulkner, United States of America, Literature, 1949
American Friends Service Committee, United States of America, Peace, 1947
Carl Cori, United States of America, Physiology or Medicine, 1947
Wendell M. Stanley, United States of America, Chemistry, 1946
James B. Sumner, United States of America, Chemistry, 1946
John H. Northrop, United States of America, Chemistry, 1946
Emily G. Balch, United States of America, Peace, 1946
John R. Mott, United States of America, Peace, 1946
Percy W. Bridgman, United States of America, Physics, 1946
Hermann J. Muller, United States of America, Physiology or Medicine, 1946
Cordell Hull, United States of America, Peace, 1945
Joseph Erlanger, United States of America, Physiology or Medicine, 1944
Herbert S. Gasser, United States of America, Physiology or Medicine, 1944
Edward A. Doisy, United States of America, Physiology or Medicine, 1943
Ernest Lawrence, United States of America, Physics, 1939
Pearl S. Buck, United States of America, Literature, 1938
Clinton Davisson, United States of America, Physics, 1937
Eugene O'Neill, United States of America, Literature, 1936
Carl Anderson, United States of America, Physics, 1936
Harold C. Urey, United States of America, Chemistry, 1934
George R. Minot, United States of America, Physiology or Medicine, 1934
William P. Murphy, United States of America, Physiology or Medicine, 1934
George H. Whipple, United States of America, Physiology or Medicine, 1934
Thomas H. Morgan, United States of America, Physiology or Medicine, 1933
Irving Langmuir, United States of America, Chemistry, 1932
Jane Addams, United States of America, Peace, 1931
Nicholas M. Butler, United States of America, Peace, 1931
Sinclair Lewis, United States of America, Literature, 1930
Frank B. Kellogg, United States of America, Peace, 1929
Arthur H. Compton, United States of America, Physics, 1927
Charles G. Dawes, United States of America, Peace, 1925
Robert A. Millikan, United States of America, Physics, 1923
Woodrow Wilson, United States of America, Peace, 1919
Theodore W. Richards, United States of America, Chemistry, 1914
Elihu Root, United States of America, Peace, 1912
Theodore Roosevelt, United States of America, Peace, 1906
Lê Đức Thọ, Vietnam, Peace, 1973
Tawakkol Karman, Yemen, Peace, 2011
